Churn,customerID,Contract,OnlineBackup,MonthlyCharges,InternetService,StreamingTV,DeviceProtection,MultipleLines,TotalCharges,Dependents,gender,PaperlessBilling,PhoneService,TechSupport,Partner,tenure,PaymentMethod,SeniorCitizen,StreamingMovies,OnlineSecurity,SeniorCitizenLabel,PartnerLabel,DependentsLabel,PhoneServiceLabel,PaperlessLabel,ServiceFamily,PaymentFamily,support_depth,stream_depth,service_count,tenure_band,monthly_charge_band,bill_per_month,bill_pressure,household_score,profile_code,row_variant,dup_sig,col_order_key
0,6509-TSGWN,Month-to-month,No internet service,25.6,No,No internet service,No internet service,Yes,832.37,Yes,Female,No,Yes,No internet service,Yes,37,Mailed check,0,No internet service,No internet service,non_senior,partnered,dependents,active_line,paper,No_Month-to-month,Mailed check_No,0.0,0,1,long,lower_mid,24.64,0.7,2,long_Month-to-month_Mailed check,base,SGWN_base,6442
1,4822-YCXMX,Month-to-month,No,84.8,Fiber optic,No,No,Yes,2043.45,No,Male,Yes,Yes,No,No,25,Electronic check,0,Yes,No,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,0.0,1,3,long,very_high,81.74,3.26,0,long_Month-to-month_Electronic check,base,CXMX_base,2209
1,9681-OXGVC,Month-to-month,No,102.47,Fiber optic,Yes,Yes,Yes,520.77,No,Female,Yes,Yes,No,No,6,Electronic check,0,Yes,No,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,1.0,2,5,short,very_high,102.8,16.75,0,short_Month-to-month_Electronic check,base,XGVC_base,5700
1,2810-FTLEM,Month-to-month,No,50.15,DSL,No,No,No,762.25,No,Female,Yes,Yes,No,No,16,Electronic check,0,No,Yes,non_senior,single,none,active_line,paperless,DSL_Month-to-month,Electronic check_Yes,1.0,0,2,mid,mid,47.64,2.95,0,mid_Month-to-month_Electronic check,base,TLEM_base,5977
0,4194-WHFCB,Month-to-month,Yes,96.65,Fiber optic,No,No,Yes,5580.8,Yes,Female,Yes,Yes,Yes,Yes,59,Bank transfer (automatic),0,Yes,No,non_senior,partnered,dependents,active_line,paperless,Fiber optic_Month-to-month,Bank transfer (automatic)_Yes,2.0,1,5,very_long,very_high,94.59,1.61,2,very_long_Month-to-month_Bank transfer (automatic),base,HFCB_base,7432
1,7979-CORPM,Month-to-month,Yes,93.54,Fiber optic,Yes,No,Yes,2420.82,No,Male,Yes,Yes,No,No,24,Credit card (automatic),0,No,No,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Credit card (automatic)_Yes,1.0,1,4,long,very_high,95.11,3.62,0,long_Month-to-month_Credit card (automatic),shadow,ORPM_shadow,1761
0,8590-OHDIW,One year,No internet service,20.3,No,No internet service,No internet service,No,749.35,Yes,Female,No,Yes,No internet service,Yes,38,Mailed check,0,No internet service,No internet service,non_senior,partnered,dependents,active_line,paper,No_One year,Mailed check_No,0.0,0,0,long,lower_mid,19.72,0.52,2,long_One year_Mailed check,base,HDIW_base,2099
1,1342-JPNKI,Month-to-month,No,86.05,Fiber optic,Yes,No,Yes,834.1,No,Male,Yes,Yes,No,No,10,Bank transfer (automatic),0,No,No,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Bank transfer (automatic)_Yes,0.0,1,3,short,very_high,83.41,7.82,0,short_Month-to-month_Bank transfer (automatic),base,PNKI_base,6684
1,8802-UNOJF,Month-to-month,Yes,83.8,Fiber optic,No,Yes,No,1029.75,No,Male,Yes,Yes,Yes,No,12,Mailed check,1,No,No,senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Mailed check_Yes,3.0,0,4,mid,very_high,85.81,6.45,0,mid_Month-to-month_Mailed check,base,NOJF_base,4463
0,6933-VLYFX,One year,No,59.95,DSL,Yes,Yes,No phone service,1848.8,Yes,Male,No,No,Yes,Yes,31,Electronic check,0,Yes,Yes,non_senior,partnered,dependents,no_line,paper,DSL_One year,Electronic check_No,3.0,2,7,long,high,59.64,1.87,2,long_One year_Electronic check,base,LYFX_base,2048
0,5339-PXDVH,Month-to-month,No,90.65,Fiber optic,Yes,No,Yes,367.95,No,Male,No,Yes,No,No,4,Electronic check,0,No,Yes,non_senior,single,none,active_line,paper,Fiber optic_Month-to-month,Electronic check_No,1.0,1,4,short,very_high,91.99,18.13,0,short_Month-to-month_Electronic check,base,XDVH_base,1985
1,5442-XSDCW,Month-to-month,No,79.5,Fiber optic,Yes,No,No,868.5,Yes,Male,Yes,Yes,No,Yes,11,Bank transfer (automatic),0,No,No,non_senior,partnered,dependents,active_line,paperless,Fiber optic_Month-to-month,Bank transfer (automatic)_Yes,0.0,1,2,short,high,78.95,6.62,2,short_Month-to-month_Bank transfer (automatic),base,SDCW_base,677
0,2843-CQMEG,Month-to-month,Yes,49.04,DSL,No,No,No,1215.27,No,Male,Yes,Yes,No,No,25,Mailed check,0,No,No,non_senior,single,none,active_line,paperless,DSL_Month-to-month,Mailed check_Yes,1.0,0,2,long,mid,50.76,1.99,0,long_Month-to-month_Mailed check,base,QMEG_base,1362
0,3174-RKMOW,Month-to-month,Yes,109.95,Fiber optic,Yes,Yes,Yes,3782.4,Yes,Male,Yes,Yes,Yes,Yes,35,Electronic check,0,Yes,No,non_senior,partnered,dependents,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,3.0,2,7,long,very_high,108.07,3.05,2,long_Month-to-month_Electronic check,base,KMOW_base,2226
0,3594-BDSOA,One year,No internet service,20.4,No,No internet service,No internet service,No,482.8,No,Female,No,Yes,No internet service,Yes,24,Credit card (automatic),0,No internet service,No internet service,non_senior,partnered,none,active_line,paper,No_One year,Credit card (automatic)_No,0.0,0,0,long,lower_mid,20.12,0.82,1,long_One year_Credit card (automatic),base,DSOA_base,6619
0,6439-LAJXL,Month-to-month,Yes,68.95,DSL,Yes,No,No,593.85,No,Male,Yes,Yes,Yes,Yes,9,Mailed check,0,No,Yes,non_senior,partnered,none,active_line,paperless,DSL_Month-to-month,Mailed check_Yes,3.0,1,5,short,high,65.98,6.9,1,short_Month-to-month_Mailed check,base,AJXL_base,69
0,5997-OPVFA,Two year,Yes,89.05,DSL,Yes,Yes,Yes,6254.45,No,Male,Yes,Yes,Yes,Yes,72,Bank transfer (automatic),0,Yes,Yes,non_senior,partnered,none,active_line,paperless,DSL_Two year,Bank transfer (automatic)_Yes,4.0,2,8,very_long,very_high,86.87,1.22,1,very_long_Two year_Bank transfer (automatic),base,PVFA_base,6904
0,4641-FROLU,Two year,No internet service,18.54,No,No internet service,No internet service,No,582.94,Yes,Female,No,Yes,No internet service,Yes,28,Mailed check,0,No internet service,No internet service,non_senior,partnered,dependents,active_line,paper,No_Two year,Mailed check_No,0.0,0,0,long,low,20.1,0.62,2,long_Two year_Mailed check,base,ROLU_base,3463
0,1063-DHQJF,Two year,Yes,92.15,Fiber optic,Yes,No,No,6480.9,Yes,Male,Yes,Yes,Yes,Yes,69,Mailed check,0,No,No,non_senior,partnered,dependents,active_line,paperless,Fiber optic_Two year,Mailed check_Yes,2.0,1,4,very_long,very_high,93.93,1.32,2,very_long_Two year_Mailed check,base,HQJF_base,1450
1,2506-CLAKW,Month-to-month,Yes,98.15,Fiber optic,No,Yes,No,567.45,No,Female,Yes,Yes,Yes,No,6,Bank transfer (automatic),0,Yes,Yes,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Bank transfer (automatic)_Yes,4.0,1,6,short,very_high,94.58,14.02,0,short_Month-to-month_Bank transfer (automatic),base,LAKW_base,3331
0,2267-FPIMA,Month-to-month,Yes,94.4,Fiber optic,No,No,Yes,4914.9,No,Male,Yes,Yes,No,Yes,50,Credit card (automatic),0,Yes,Yes,non_senior,partnered,none,active_line,paperless,Fiber optic_Month-to-month,Credit card (automatic)_Yes,2.0,1,5,very_long,very_high,98.3,1.85,1,very_long_Month-to-month_Credit card (automatic),base,PIMA_base,1050
1,4030-VPZBD,Month-to-month,No,30.9,DSL,No,No,No phone service,59.05,No,Female,Yes,No,Yes,No,2,Electronic check,0,No,No,non_senior,single,none,no_line,paperless,DSL_Month-to-month,Electronic check_Yes,1.0,0,3,very_short,lower_mid,29.52,10.3,0,very_short_Month-to-month_Electronic check,base,PZBD_base,2371
0,2262-SLNVK,Month-to-month,No,70.1,Fiber optic,No,No,No,70.1,No,Female,No,Yes,No,No,1,Electronic check,0,No,No,non_senior,single,none,active_line,paper,Fiber optic_Month-to-month,Electronic check_No,0.0,0,1,very_short,high,70.1,35.05,0,very_short_Month-to-month_Electronic check,base,LNVK_base,4064
0,7771-CFQRQ,Two year,Yes,63.8,DSL,No,No,No,3007.25,Yes,Female,No,Yes,Yes,Yes,47,Bank transfer (automatic),0,Yes,No,non_senior,partnered,dependents,active_line,paper,DSL_Two year,Bank transfer (automatic)_No,2.0,1,4,long,high,63.98,1.33,2,long_Two year_Bank transfer (automatic),base,FQRQ_base,207
1,7892-POOKP,Month-to-month,No,104.8,Fiber optic,Yes,Yes,Yes,3046.05,No,Female,Yes,Yes,Yes,Yes,28,Electronic check,0,Yes,No,non_senior,partnered,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,2.0,2,6,long,very_high,108.79,3.61,1,long_Month-to-month_Electronic check,base,OOKP_base,1796
0,0872-JCPIB,Month-to-month,No,65.75,DSL,No,No,Yes,1111.2,No,Male,No,Yes,No,No,17,Bank transfer (automatic),0,Yes,Yes,non_senior,single,none,active_line,paper,DSL_Month-to-month,Bank transfer (automatic)_No,1.0,1,4,mid,high,65.36,3.65,0,mid_Month-to-month_Bank transfer (automatic),base,CPIB_base,5637
0,2576-HXMPA,Month-to-month,No internet service,19.55,No,No internet service,No internet service,No,19.55,No,Female,No,Yes,No internet service,No,1,Credit card (automatic),0,No internet service,No internet service,non_senior,single,none,active_line,paper,No_Month-to-month,Credit card (automatic)_No,0.0,0,0,very_short,low,19.55,9.78,0,very_short_Month-to-month_Credit card (automatic),base,XMPA_base,6104
1,3671-SHRSP,Month-to-month,No,80.6,Fiber optic,No,Yes,No,319.15,No,Male,Yes,Yes,Yes,Yes,4,Mailed check,0,No,No,non_senior,partnered,none,active_line,paperless,Fiber optic_Month-to-month,Mailed check_Yes,2.0,0,3,short,very_high,79.79,16.12,1,short_Month-to-month_Mailed check,base,HRSP_base,4586
0,9079-LWTFD,Month-to-month,Yes,100.75,Fiber optic,Yes,No,Yes,4669.2,No,Male,No,Yes,Yes,No,47,Mailed check,0,No,Yes,non_senior,single,none,active_line,paper,Fiber optic_Month-to-month,Mailed check_No,3.0,1,6,long,very_high,99.34,2.1,0,long_Month-to-month_Mailed check,base,WTFD_base,2157
1,8051-HJRLT,Month-to-month,No,69.48,Fiber optic,No,No,No,83.51,No,Female,Yes,Yes,No,No,2,Electronic check,1,No,No,senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,0.0,0,1,very_short,high,70.55,35.28,0,very_short_Month-to-month_Electronic check,base,JRLT_base,4693
0,9372-TXXPS,Two year,Yes,59.85,DSL,No,No,No,3483.45,No,Female,No,Yes,Yes,Yes,60,Bank transfer (automatic),0,No,Yes,non_senior,partnered,none,active_line,paper,DSL_Two year,Bank transfer (automatic)_No,3.0,0,4,very_long,high,58.06,0.98,1,very_long_Two year_Bank transfer (automatic),base,XXPS_base,696
0,5956-YHHRX,Month-to-month,Yes,104.35,Fiber optic,Yes,Yes,Yes,2271.85,No,Male,Yes,Yes,No,No,21,Electronic check,1,Yes,No,senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,2.0,2,6,mid,very_high,108.18,4.74,0,mid_Month-to-month_Electronic check,base,HHRX_base,445
0,3594-IVHJZ,Month-to-month,No internet service,20.45,No,No internet service,No internet service,No,42.45,No,Female,Yes,Yes,No internet service,No,2,Mailed check,0,No internet service,No internet service,non_senior,single,none,active_line,paperless,No_Month-to-month,Mailed check_Yes,0.0,0,0,very_short,lower_mid,21.22,6.82,0,very_short_Month-to-month_Mailed check,base,VHJZ_base,2403
0,8242-PDSGJ,Two year,No,39.15,DSL,No,Yes,No phone service,2692.75,No,Male,Yes,No,Yes,Yes,70,Credit card (automatic),0,No,Yes,non_senior,partnered,none,no_line,paperless,DSL_Two year,Credit card (automatic)_Yes,3.0,0,5,very_long,mid,38.47,0.55,1,very_long_Two year_Credit card (automatic),base,DSGJ_base,3753
1,2026-TGDHM,Month-to-month,No,79.3,Fiber optic,No,No,No,523.15,No,Female,Yes,Yes,No,No,7,Electronic check,0,Yes,No,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,0.0,1,2,short,high,74.74,9.91,0,short_Month-to-month_Electronic check,base,GDHM_base,4995
0,9752-ZNQUT,Month-to-month,Yes,48.6,DSL,No,No,No,48.6,No,Female,Yes,Yes,No,No,1,Electronic check,0,No,No,non_senior,single,none,active_line,paperless,DSL_Month-to-month,Electronic check_Yes,1.0,0,2,very_short,mid,48.6,24.3,0,very_short_Month-to-month_Electronic check,base,NQUT_base,6058
1,3891-PUQOD,Month-to-month,No,59.2,DSL,No,Yes,No,59.2,Yes,Female,No,Yes,No,No,1,Electronic check,0,Yes,No,non_senior,single,dependents,active_line,paper,DSL_Month-to-month,Electronic check_No,1.0,1,3,very_short,high,59.2,29.6,1,very_short_Month-to-month_Electronic check,base,UQOD_base,5676
0,3307-TLCUD,Month-to-month,No,34.4,DSL,No,Yes,No phone service,592.75,No,Male,No,No,No,Yes,17,Mailed check,0,No,Yes,non_senior,partnered,none,no_line,paper,DSL_Month-to-month,Mailed check_No,2.0,0,4,mid,lower_mid,34.87,1.91,1,mid_Month-to-month_Mailed check,base,LCUD_base,7491
1,6583-QGCSI,Month-to-month,Yes,88.05,Fiber optic,Yes,No,Yes,4367.35,No,Female,Yes,Yes,No,Yes,50,Electronic check,1,No,No,senior,partnered,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,1.0,1,4,very_long,very_high,87.35,1.73,1,very_long_Month-to-month_Electronic check,base,GCSI_base,5742
1,1113-IUJYX,One year,Yes,99.57,Fiber optic,Yes,No,No,1271.31,No,Female,No,Yes,Yes,Yes,12,Mailed check,0,Yes,Yes,non_senior,partnered,none,active_line,paper,Fiber optic_One year,Mailed check_No,3.0,2,6,mid,very_high,96.35,7.06,1,mid_One year_Mailed check,base,UJYX_base,6696
1,1750-CSKKM,Month-to-month,No,68.73,DSL,Yes,No,No,575.8,Yes,Male,No,Yes,No,No,12,Electronic check,0,No,No,non_senior,single,dependents,active_line,paper,DSL_Month-to-month,Electronic check_No,0.0,1,2,short,high,49.97,5.54,1,short_Month-to-month_Electronic check,base,SKKM_base,1
0,6837-BJYDQ,One year,No internet service,19.86,No,No internet service,No internet service,No,64.46,No,Male,No,Yes,No internet service,No,6,Mailed check,0,No internet service,No internet service,non_senior,single,none,active_line,paper,No_One year,Mailed check_No,0.0,0,0,very_short,low,20.45,4.9,0,very_short_One year_Mailed check,shadow,JYDQ_shadow,7351
0,2169-RRLFW,Two year,No internet service,25.6,No,No internet service,No internet service,Yes,1888.25,No,Female,No,Yes,No internet service,Yes,71,Credit card (automatic),0,No internet service,No internet service,non_senior,partnered,none,active_line,paper,No_Two year,Credit card (automatic)_No,0.0,0,1,very_long,lower_mid,26.6,0.36,1,very_long_Two year_Credit card (automatic),base,RLFW_base,902
1,0388-EOPEX,Month-to-month,No,74.4,Fiber optic,No,No,No,139.4,No,Female,Yes,Yes,No,Yes,2,Electronic check,0,No,Yes,non_senior,partnered,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,1.0,0,2,very_short,high,69.7,24.8,1,very_short_Month-to-month_Electronic check,base,OPEX_base,7614
0,4232-JGKIY,Month-to-month,No internet service,19.2,No,No internet service,No internet service,No,19.2,No,Male,No,Yes,No internet service,No,1,Electronic check,0,No internet service,No internet service,non_senior,single,none,active_line,paper,No_Month-to-month,Electronic check_No,0.0,0,0,very_short,low,19.2,9.6,0,very_short_Month-to-month_Electronic check,base,GKIY_base,6687
0,4335-BSMJS,Two year,No internet service,25.8,No,No internet service,No internet service,Yes,1563.95,No,Female,Yes,Yes,No internet service,No,62,Credit card (automatic),0,No internet service,No internet service,non_senior,single,none,active_line,paperless,No_Two year,Credit card (automatic)_Yes,0.0,0,1,very_long,lower_mid,25.22,0.41,0,very_long_Two year_Credit card (automatic),base,SMJS_base,4741
0,6377-KSLXC,Month-to-month,No internet service,19.95,No,No internet service,No internet service,No,107.05,No,Male,No,Yes,No internet service,No,5,Mailed check,0,No internet service,No internet service,non_senior,single,none,active_line,paper,No_Month-to-month,Mailed check_No,0.0,0,0,short,low,21.41,3.32,0,short_Month-to-month_Mailed check,base,SLXC_base,6153
1,8086-OVPWV,Month-to-month,No,80.2,Fiber optic,No,No,No,181.1,No,Male,Yes,Yes,No,No,2,Electronic check,0,Yes,No,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,0.0,1,2,very_short,very_high,90.55,26.73,0,very_short_Month-to-month_Electronic check,base,VPWV_base,2278
0,4369-NYSCF,One year,Yes,75.75,DSL,Yes,No,No,4284.65,No,Male,Yes,Yes,Yes,No,56,Bank transfer (automatic),0,Yes,No,non_senior,single,none,active_line,paperless,DSL_One year,Bank transfer (automatic)_Yes,2.0,2,5,very_long,high,76.51,1.33,0,very_long_One year_Bank transfer (automatic),base,YSCF_base,6550
0,4256-ZWTZI,Month-to-month,No,67.52,DSL,No,No,No,342.37,Yes,Female,Yes,Yes,Yes,No,7,Mailed check,0,No,No,non_senior,single,dependents,active_line,paperless,DSL_Month-to-month,Mailed check_Yes,1.0,0,2,short,mid,57.36,8.5,1,short_Month-to-month_Mailed check,base,WTZI_base,4642
0,7963-SHNDT,Two year,,39.1,DSL,No,,No phone service,1982.1,No,Female,No,No,,No,52,Mailed check,0,No,,non_senior,single,none,no_line,paper,DSL_Two year,Mailed check_No,3.0,0,5,very_long,mid,38.12,0.74,0,very_long_Two year_Mailed check,base,HNDT_base,5060
0,4123-FCVCB,One year,No,75.85,DSL,Yes,No,Yes,854.45,No,Female,Yes,Yes,Yes,No,12,Mailed check,0,Yes,No,non_senior,single,none,active_line,paperless,DSL_One year,Mailed check_Yes,1.0,2,5,mid,high,71.2,5.83,0,mid_One year_Mailed check,base,CVCB_base,6469
1,8708-XPXHZ,Month-to-month,No,94.2,Fiber optic,Yes,No,Yes,4186.3,Yes,Female,Yes,Yes,No,Yes,42,Electronic check,0,Yes,No,non_senior,partnered,dependents,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,0.0,2,4,long,very_high,99.67,2.19,2,long_Month-to-month_Electronic check,base,PXHZ_base,4518
1,9462-MJUAW,Month-to-month,No,50.4,DSL,No,No,Yes,206.6,No,Male,No,Yes,No,No,4,Mailed check,0,No,No,non_senior,single,none,active_line,paper,DSL_Month-to-month,Mailed check_No,0.0,0,2,short,mid,51.65,10.08,0,short_Month-to-month_Mailed check,base,JUAW_base,5534
